Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,1.37E+12,1.42E+12,1.53E+12,1.64E+12,1.80E+12,1.96E+12,2.13E+12,2.26E+12,2.44E+12,2.69E+12,2.96E+12,3.27E+12,3.77E+12,4.59E+12,5.30E+12,5.90E+12,6.42E+12,7.26E+12,8.54E+12,9.93E+12,1.12E+13,1.15E+13,1.14E+13,1.16E+13,1.21E+13,1.27E+13,1.50E+13,1.71E+13,1.91E+13,2.01E+13,2.26E+13,2.39E+13,2.54E+13,2.59E+13,2.78E+13,3.09E+13,3.16E+13,3.14E+13,3.13E+13,3.25E+13,3.36E+13,3.34E+13,3.46E+13,3.89E+13,4.38E+13,4.74E+13,5.14E+13,5.79E+13,6.35E+13,6.02E+13,6.60E+13,7.33E+13,7.49E+13,7.70E+13,7.91E+13,7.48E+13,7.59E+13
United States,5.43E+11,5.63E+11,6.05E+11,6.39E+11,6.86E+11,7.44E+11,8.15E+11,8.62E+11,9.43E+11,1.02E+12,1.08E+12,1.17E+12,1.28E+12,1.43E+12,1.55E+12,1.69E+12,1.88E+12,2.09E+12,2.36E+12,2.63E+12,2.86E+12,3.21E+12,3.34E+12,3.64E+12,4.04E+12,4.35E+12,4.59E+12,4.87E+12,5.25E+12,5.66E+12,5.98E+12,6.17E+12,6.54E+12,6.88E+12,7.31E+12,7.66E+12,8.10E+12,8.61E+12,9.09E+12,9.66E+12,1.03E+13,1.06E+13,1.10E+13,1.15E+13,1.23E+13,1.31E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.67E+13,1.74E+13,1.81E+13,1.86E+13
South Africa,7575248495,7972840543,8497830043,9423211536,10373792524,11334173317,12354752905,13777124458,14894302114,16780064399,18418031639,20334172260,21358137115,29293948127,36806475350,38114942529,36601885925,40649724011,46737580497,57647268409,82984078069,89629496833,82696902010,88786580363,87880468269,69208451593,82107924006,1.07415E+11,1.18332E+11,1.28903E+11,1.15553E+11,1.23943E+11,1.34545E+11,1.3431E+11,1.39752E+11,1.5546E+11,1.47608E+11,1.52586E+11,1.37774E+11,1.36632E+11,1.36362E+11,1.21601E+11,1.15748E+11,1.75257E+11,2.28937E+11,2.57671E+11,2.71811E+11,2.99034E+11,2.871E+11,2.97217E+11,3.75298E+11,4.16878E+11,3.96333E+11,3.6681E+11,3.51119E+11,3.17611E+11,2.95456E+11
